flow_id,packet_count,duration,avg_length,packets_per_second,bytes_per_second,syn_count,ack_count,http_request_count,raw_prediction,prediction,confidence
1858233,5,4.188,60.0,1.194,71.627,0,0,0,Probe,Probe,100.0
9412891,15,4.183,63.733,3.586,228.523,1,5,0,Probe,Probe,100.0
31346665,6,4.244,67.333,1.414,95.198,0,2,0,Probe,Probe,100.0
27004457,5,3.988,67.6,1.254,84.744,0,2,0,Probe,Probe,100.0
316434527,5,1.458,67.6,3.429,231.79,0,2,0,Probe,Probe,100.0
301074414,119,3.683,67.193,32.308,2170.85,20,79,0,Probe,Probe,100.0
38939235,86,1.554,69.0,55.33,3817.742,18,48,0,Probe,Probe,100.0
39175522,34,1.279,68.176,26.582,1812.284,2,9,0,Probe,Probe,100.0
83467836,23,1.623,67.217,14.172,952.632,5,9,0,Probe,Probe,100.0
111729957,9,4.37,60.0,2.059,123.557,0,0,0,Probe,Probe,100.0
107021815,44,1.925,68.182,22.857,1558.464,5,20,0,Probe,Probe,100.0
91799518,18,1.578,68.222,11.407,778.211,0,8,0,Probe,Probe,100.0
174881985,5,4.058,67.6,1.232,83.285,0,2,0,Probe,Probe,100.0
154906037,6,3.957,64.333,1.516,97.542,1,1,0,Probe,Probe,100.0
114440667,50,1.928,66.96,25.934,1736.548,0,32,0,Probe,Probe,100.0
222404291,7,1.371,80.286,5.106,409.972,1,1,0,Probe,Probe,100.0
207139600,13,4.24,68.462,3.066,209.921,3,3,0,Probe,Probe,100.0
205812561,7,4.008,72.0,1.746,125.734,1,1,0,Probe,Probe,100.0
197120710,426,1.975,68.615,215.689,14799.475,140,143,0,Probe,Probe,100.0
195962774,5,4.03,67.6,1.241,83.877,0,2,0,Probe,Probe,100.0
231725583,1111,3.815,73.341,291.213,21357.903,1024,53,0,Probe,Probe,100.0
212775203,13,1.49,548.308,8.725,4783.915,0,0,0,Probe,Probe,100.0
266051645,325,4.183,429.058,77.691,33334.003,0,202,0,Probe,Probe,100.0
227688938,7,1.358,77.143,5.154,397.62,1,1,0,Probe,Probe,100.0
495162821,7,1.423,71.857,4.919,353.483,1,1,0,Probe,Probe,100.0
423106744,35,0.41,69.771,85.435,5960.954,14,14,0,Probe,Probe,100.0
409446070,12,4.262,68.0,2.815,191.453,0,5,0,Probe,Probe,100.0
456462317,29,0.238,69.862,121.874,8514.358,12,12,0,Probe,Probe,100.0
398714185,315,4.087,68.641,77.083,5291.064,2,154,0,Probe,Probe,100.0
398699217,46,0.412,162.87,111.754,18201.298,0,19,0,Probe,Probe,100.0
